,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
104,Rcan3,Khdrbs2,Cd63,,,,,,,,,,,,,,,,,,,,,,,,
105,Vav2,Inhba,Pde8a,,,,,,,,,,,,,,,,,,,,,,,,
106,Adamtsl5,A830009L08Rik,Tsc22d4,,,,,,,,,,,,,,,,,,,,,,,,
107,Cnr1,Rap1gap2,Plxnb1,,,,,,,,,,,,,,,,,,,,,,,,
108,Rab27a,Pou6f2,Glul,,,,,,,,,,,,,,,,,,,,,,,,
109,Nrip2,Cnksr2,Smim3,,,,,,,,,,,,,,,,,,,,,,,,
110,Fgf13,Camk4,Ndrg2,,,,,,,,,,,,,,,,,,,,,,,,
111,Thsd7a,Nrp1,Lama2,,,,,,,,,,,,,,,,,,,,,,,,
112,Fstl5,Homer1,Swap70,,,,,,,,,,,,,,,,,,,,,,,,
113,Eps8,Mdga1,Id4,,,,,,,,,,,,,,,,,,,,,,,,
114,Adamts6,Crym,Dock1,,,,,,,,,,,,,,,,,,,,,,,,
115,Egfem1,Tbr1,Lrp4,,,,,,,,,,,,,,,,,,,,,,,,
116,Shisa6,Gm11549,Ranbp3l,,,,,,,,,,,,,,,,,,,,,,,,
117,Gm16070,Myl4,St3gal4,,,,,,,,,,,,,,,,,,,,,,,,
118,Yes1,Dtl,Sash1,,,,,,,,,,,,,,,,,,,,,,,,
119,Tac2,Fezf2,Qk,,,,,,,,,,,,,,,,,,,,,,,,
120,Crh,Bdnf,Maml2,,,,,,,,,,,,,,,,,,,,,,,,
121,Cort,Ppp1r1b,Dock10,,,,,,,,,,,,,,,,,,,,,,,,
